IL7 dose (pg/mL),pstat5D median curve 1,pstat5D median curve 2
1,29.29171669,29.29171669
10,286.6746699,286.6746699
100,2750.060024,2691.236495
1000,5125.090036,4330.972389
10000,5617.767107,5117.647059
100000,5345.618247,5228.091236
