times,IL2 - 1nM,IL15 - 1nM,H9 - 1nM,IL15_IL15Ra - 1nM,IL2 - 500nM,IL15 - 500nM,H9 - 500nM,IL15_IL15Ra - 500nM
0.081999,10.30864198,9.938271605,9.938271605,9.938271605,10,9.938271605,10,10
1.656024,11.17283951,8.950617284,5.987654321,6.049382716,1.851851852,1.604938272,0.24691358,0.308641975
4.603067,10.80246914,8.518518519,4.567901235,3.950617284,1.604938272,1.419753086,0.12345679,0.24691358
14.82539,9.75308642,5.308641975,2.716049383,2.098765432,1.234567901,1.296296296,0.061728395,0.24691358
29.9477,11.17283951,6.296296296,2.283950617,1.790123457,1.111111111,1.296296296,0.061728395,0.185185185
60.28448,8.209876543,5.24691358,2.098765432,1.728395062,0.925925926,1.172839506,0.12345679,0.12345679
90.29839,7.098765432,4.691358025,1.234567901,1.604938272,0.925925926,0.987654321,0.12345679,0.061728395
