Cell Type,Receptor,Count
NK,$\gamma_{c}$,12254.87035
CD8+,$\gamma_{c}$,15050.64033
Naive CD8+,$\gamma_{c}$,12398.53095
Mem CD8+,$\gamma_{c}$,18600.78709
CD3+CD4+,$\gamma_{c}$,11468.69028
T-reg,$\gamma_{c}$,14113.91785
Naive Treg,$\gamma_{c}$,8893.738911
Mem Treg,$\gamma_{c}$,18674.13474
T-helper,$\gamma_{c}$,11351.21123
Naive Th,$\gamma_{c}$,9000.400614
Mem Th,$\gamma_{c}$,17697.12866
NK,$\gamma_{c}$,9881.142781
CD8+,$\gamma_{c}$,13008.48152
Naive CD8+,$\gamma_{c}$,10904.68874
Mem CD8+,$\gamma_{c}$,16884.35892
CD3+CD4+,IL-15R$\alpha$,0
T-reg,IL-15R$\alpha$,0
Naive Treg,IL-15R$\alpha$,0
Mem Treg,IL-15R$\alpha$,0
T-helper,IL-15R$\alpha$,0
Naive Th,IL-15R$\alpha$,0
Mem Th,IL-15R$\alpha$,0
NK,IL-15R$\alpha$,0
CD8+,IL-15R$\alpha$,0
Naive CD8+,IL-15R$\alpha$,0
Mem CD8+,IL-15R$\alpha$,0
CD3+CD4+,IL-7R$\alpha$,17066.36791
T-reg,IL-7R$\alpha$,4003.606182
Naive Treg,IL-7R$\alpha$,5975.804219
Mem Treg,IL-7R$\alpha$,2504.653147
T-helper,IL-7R$\alpha$,19612.30306
Naive Th,IL-7R$\alpha$,17633.94598
Mem Th,IL-7R$\alpha$,25239.06393
NK,IL-7R$\alpha$,5.18134425
CD8+,IL-7R$\alpha$,0
Naive CD8+,IL-7R$\alpha$,0
Mem CD8+,IL-7R$\alpha$,0
CD3+CD4+,IL-7R$\alpha$,16467.17942
T-reg,IL-7R$\alpha$,3216.115902
Naive Treg,IL-7R$\alpha$,5353.537686
Mem Treg,IL-7R$\alpha$,2260.141013
T-helper,IL-7R$\alpha$,18713.53922
Naive Th,IL-7R$\alpha$,16498.12477
Mem Th,IL-7R$\alpha$,24813.90978
NK,IL-7R$\alpha$,152.8853349
CD8+,IL-7R$\alpha$,0
Naive CD8+,IL-7R$\alpha$,0
Mem CD8+,IL-7R$\alpha$,0
