Gene Symbol,LTHSC_34-_BM,MMP2_150+48+_BM,proB_CLP_BM,proB_FrBC_BM,B_Fo_Sp,B_MZ_Sp,B_GC_CC_Sp,B_PC_Sp,B1b_PC,preT_DN1_Th,T_DP_Th,T_4_Nve_Sp,NKT_Sp,Treg_4_25hi_Sp,T_8_Nve_Sp,T8_TE_LCMV_d7_Sp,T8_Tem_LCMV_d180_Sp,Tgd_g2+d1_24a+_Th,Tgd_g2+d17_LN,Tgd_Sp,NK_27-11b+_Sp,ILC2_SI,ILC3_NKp46-CCR6-_SI,ILC3_NKp46+_SI,DC_8+_Sp,DC_pDC_Sp,GN_BM,GN_Thio_PC,MC_heparinase_PC,MF_PC,MF_Alv_Lu,Ep_MEChi_Th,LEC_SLN,IAP_SLN
Il2ra,1.47922,0.1,0.505332,47.9316,11.4349,8.89614,4.7392,4.85468,95.5168,199.815,43.331,6.31548,312.606,2660.6,4.94226,66.7266,214.986,35.5552,749.49,60.2892,2.81802,1733.44,702.658,747.039,6.32626,10.7166,0.1,10.9007,0.1,0.613139,0.1,234.855,2.24612,316.128
Il2rb,0.1,0.1,8.86564,0.801443,1.5554,8.89614,23.4249,26.2507,6.73522,169.861,0.551002,35.6719,6659.58,3089.05,547.238,1482.89,2839.42,505.619,468.285,3544.34,6188.13,660.267,1763.53,3465.06,9.32802,9.7764,0.1,2.80017,0.1,0.1,0.1,63.6703,5.32032,518.631
Il2rg,444.28,264.742,373.726,297.937,2092.05,1774.22,841.888,1749.82,1660.88,856.108,1859.19,3195.63,4611.32,3100.95,3610.54,2503.5,3561.58,1889.86,3264.91,3132.06,2558.67,5299.23,3544.28,3914.59,979.262,1131.44,241.342,2702.87,3204.35,714.92,235.344,1358.67,6743.08,1288.92
Il15ra,241.899,142.513,40.8707,28.5349,37.8681,96.2656,15.6468,118.967,91.9331,62.5595,40.1236,47.0775,165.544,52.7887,51.7287,126.588,145.706,30.5891,165.453,89.9201,48.1184,188.543,120.26,97.3882,1003.93,12.287,100.171,36.5216,9.58003,261.236,102.173,642.09,435.34,505.237
Il7r,9.75453,0.1,1168.73,1299.93,0.897404,0.1,0.1,0.1,0.1,377.569,2.35501,3214.03,5552.38,1175.24,2924.59,46.9926,7160.63,343.3,12198.6,2615.36,1.00601,4023.37,7297.39,4553.12,166.857,1716.83,1.27568,12.5334,10.37,0.1,1.31506,62.951,1.4945,706.716
Il9r,5.47073,0.1,0.1,0.1,132.636,755.194,120.571,21.4961,473.851,9.30082,3.75833,0.1,5.04918,1.5326,0.1,0.1,0.1,4.8422,37.5516,0.402013,1.91202,961.135,0.1,0.1,15.4275,78.6933,0.1,0.1,68.0402,0.1,0.785515,128.831,1.88844,163.862
Il4ra,428.026,142.893,373.705,106.455,2354.33,916.163,1323.28,77.9566,1172.56,613.313,1442.36,1963.63,695.173,1628.06,1066.65,245.336,694.039,220.848,317.451,637.077,278.164,1024.53,519.342,537.486,1050.35,728.06,1205.78,3947.58,672.1,382.587,1240.6,2015.69,813.081,744.56
Il21r,308.718,122.944,271.065,119.299,1475.18,638.107,1411.27,24.5692,405.845,198.391,1183.7,1140.64,550.725,1060.46,1061.32,678.973,563.169,993.668,237.584,1194.88,121.7,0.517159,14.2703,1.00149,739.804,753.421,17.6157,25.0838,9.00066,12.2549,3.65844,172.69,303.449,740.777
