Cells,Ligand,Time,Replicate,84,28,9.333333333,3.111111111,1.037037037,0.345679012,0.115226337,0.038408779,0.012802926,0.004267642,0.001422547,0.000474182
Memory T-regulatory cells (CD45RA-),IL2-060,4,1,52628.6,48880.0,48239.2,46267.5,46978.9,57702.7,44569.9,50307.3,40139.7,35836.7,31322.8,17006.9
Memory T-regulatory cells (CD45RA-),IL2-060,2,1,48123.8,46307.0,49177.5,44183.3,41827.8,34994.1,32340.6,34142.1,28659.8,26562.2,10204.7,8759.7
Memory T-regulatory cells (CD45RA-),IL2-060,1,1,59165.6,47713.8,51799.5,51609.0,55019.9,50612.6,47926.9,38463.3,21136.8,5559.7,5327.6,3077.9
Memory T-regulatory cells (CD45RA-),IL2-060,0.5,1,72476.1,67750.4,66095.1,60370.2,58349.8,60778.8,42238.1,17485.7,11355.2,15401.5,5723.8,5809.0
Non-Treg T helper cells (Foxp3-) (naïve and memory combined),IL2-060,4,1,15224.2,11149.4,11518.4,9332.0,7145.6,8161.7,6867.3,6674.6,6083.9,5616.1,4824.9,5043.4
Non-Treg T helper cells (Foxp3-) (naïve and memory combined),IL2-060,4,1,13902.7,12102.7,10641.1,8362.3,7098.3,8294.5,6373.4,6458.1,5992.1,5219.6,4838.1,4339.3
Non-Treg T helper cells (Foxp3-) (naïve and memory combined),IL2-060,2,1,7310.8,6514.1,5832.9,5582.3,5630.9,6593.9,5228.1,5385.2,4989.5,4383.2,4063.1,4009.4
Non-Treg T helper cells (Foxp3-) (naïve and memory combined),IL2-060,1,1,10240.9,8155.5,5462.1,5436.7,6481.2,4864.3,4330.9,3678.8,2971.7,2713.5,2698.5,2690.6
Non-Treg T helper cells (Foxp3-) (naïve and memory combined),IL2-060,0.5,1,28799.5,23885.0,15182.8,15427.2,12899.5,7470.9,5675.2,3739.8,4279.8,4277.5,3838.0,3428.6
Naïve Non-Treg T helper cells (Foxp3-CD45RA+),IL2-060,4,1,7996.7,7322.4,7584.6,6644.3,5788.2,7032.1,5584.8,5610.9,5151.1,5091.6,4617.8,4737.8
Naïve Non-Treg T helper cells (Foxp3-CD45RA+),IL2-060,4,1,6655.0,6612.3,6641.2,6015.9,5591.5,6755.0,5326.0,5392.7,5085.6,4655.4,4409.7,4151.8
Naïve Non-Treg T helper cells (Foxp3-CD45RA+),IL2-060,2,1,5050.7,4852.5,4688.8,4655.4,4717.2,5770.0,4518.2,4732.8,4489.0,4167.9,3953.3,3862.0
Naïve Non-Treg T helper cells (Foxp3-CD45RA+),IL2-060,1,1,5385.0,4898.8,4125.5,4077.0,4670.6,4106.7,3644.4,3432.8,2890.8,2703.4,2707.0,2683.9
Naïve Non-Treg T helper cells (Foxp3-CD45RA+),IL2-060,0.5,1,15161.2,12457.9,7914.2,7828.0,6934.0,6328.0,5270.5,3865.8,4184.4,4113.0,3716.2,3468.4
Memory Non-Treg T helper cells (Foxp3-CD45RA-),IL2-060,4,1,40465.2,27219.8,26931.8,22458.8,16311.5,14038.1,17682.6,14833.9,10988.5,6924.5,5296.5,5639.9
Memory Non-Treg T helper cells (Foxp3-CD45RA-),IL2-060,4,1,39366.2,31056.2,27070.2,20998.0,16808.4,20127.1,12977.3,13511.3,9774.0,6389.8,5620.5,4691.6
Memory Non-Treg T helper cells (Foxp3-CD45RA-),IL2-060,2,1,20916.5,14500.5,11593.3,9190.2,9706.5,9550.7,7792.4,7218.0,6175.0,4870.9,4305.9,4263.0
Memory Non-Treg T helper cells (Foxp3-CD45RA-),IL2-060,1,1,24961.3,17790.3,13617.0,13377.4,15628.6,8010.8,6867.6,4229.8,3128.3,2742.4,2698.4,2705.9
Memory Non-Treg T helper cells (Foxp3-CD45RA-),IL2-060,0.5,1,48146.9,40702.2,33714.4,32926.8,28647.8,10549.1,6460.7,4119.8,4512.7,4652.3,4065.8,3526.4
NK cells,IL2-062,4,1,2258.7,1838.1,1743.2,1335.1,1005.6,842.3,737.5,790.2,589.7,599.6,520.0,500.6
NK cells,IL2-062,2,1,2223.1,1720.2,1120.8,914.3,840.9,780.8,767.9,730.0,717.7,763.2,704.0,742.8
NK cells,IL2-062,1,1,2584.3,1750.2,1108.4,908.2,916.7,908.0,858.7,695.0,657.7,551.9,663.4,625.9
CD56bright NK cells,IL2-062,4,1,7893.1,3602.9,2139.8,1867.3,1787.7,1865.7,1532.9,1402.9,1184.5,2107.0,459.2,1307.6
CD56bright NK cells,IL2-062,2,1,2540.1,3091.8,2261.7,1608.2,2163.0,922.4,1328.7,1734.2,1466.7,1127.9,1025.0,980.0
CD56bright NK cells,IL2-062,1,1,3570.7,4705.9,1856.6,3165.3,2056.3,3059.1,3867.0,1138.2,1193.6,601.7,636.9,1085.4
Cytotoxic T cells (CD3+CD8+),IL2-062,4,1,1541.6,1062.0,959.2,889.9,822.5,820.6,759.7,708.2,628.8,717.3,672.2,638.3
Cytotoxic T cells (CD3+CD8+),IL2-062,2,1,1390.1,1021.4,861.4,863.9,834.5,786.3,756.6,770.5,805.0,766.8,701.8,750.1
Cytotoxic T cells (CD3+CD8+),IL2-062,1,1,1580.9,1026.1,927.4,827.0,853.1,789.4,753.5,756.0,707.6,670.5,634.7,695.1
