Cells,Ligand,Time,Replicate,84,28,9.333333333,3.111111111,1.037037037,0.345679012,0.115226337,0.038408779,0.012802926,0.004267642,0.001422547,0.000474182
Memory T-regulatory cells (CD45RA-),IL2-060,4,2,36002.7,31045.9,32837.1,30778.7,35691.4,33558.5,34169.5,32741.2,28365.2,21934.4,6547.0,4281.7
Memory T-regulatory cells (CD45RA-),IL2-060,2,2,22321.4,27248.9,24257.6,18670.5,19484.6,21169.4,31245.8,24093.6,28171.3,7304.1,6239.5,5143.1
Memory T-regulatory cells (CD45RA-),IL2-060,1,2,41281.5,38400.2,42820.7,41260.0,40695.6,41106.9,39245.9,31953.1,21811.9,10474.9,5662.3,4350.7
Memory T-regulatory cells (CD45RA-),IL2-060,0.5,2,45717.3,44738.3,46695.5,43918.1,45154.6,42448.4,39166.3,25953.3,12867.5,6435.7,6082.6,6193.0
Non-Treg T helper cells (Foxp3-) (naïve and memory combined),IL2-060,4,2,8241.1,5981.6,5429.4,4660.9,4467.7,4497.3,4441.7,4070.8,3743.6,3634.4,3163.3,2982.6
Non-Treg T helper cells (Foxp3-) (naïve and memory combined),IL2-060,2,2,4875.8,4647.3,4180.7,4017.8,4094.0,4174.3,4262.0,4048.3,3575.7,3527.6,3339.0,3230.5
Non-Treg T helper cells (Foxp3-) (naïve and memory combined),IL2-060,1,2,7683.3,7016.7,5982.1,6159.1,5714.3,5724.2,4901.7,3974.0,3681.4,3274.7,3382.1,3117.4
Non-Treg T helper cells (Foxp3-) (naïve and memory combined),IL2-060,0.5,2,15755.3,15185.8,11020.9,8763.5,8232.5,6314.4,4668.2,3964.9,3837.2,3780.6,3511.0,3596.4
Naïve Non-Treg T helper cells (Foxp3-CD45RA+),IL2-060,4,2,4245.6,3742.7,3709.7,3620.6,3533.8,3647.5,3551.9,3383.6,3121.3,3121.2,2833.0,2611.7
Naïve Non-Treg T helper cells (Foxp3-CD45RA+),IL2-060,2,2,3898.1,3652.8,3400.6,3426.5,3444.2,3426.2,3571.6,3518.8,3164.3,3155.9,3037.0,2902.5
Naïve Non-Treg T helper cells (Foxp3-CD45RA+),IL2-060,1,2,4867.5,4553.6,4296.6,4429.5,4318.8,4179.8,3943.0,3427.5,3301.7,2935.8,3112.3,2838.0
Naïve Non-Treg T helper cells (Foxp3-CD45RA+),IL2-060,0.5,2,8203.7,7825.0,5943.5,5186.7,5445.6,4911.7,3976.0,3587.7,3518.6,3464.9,3203.2,3289.5
Memory Non-Treg T helper cells (Foxp3-CD45RA-),IL2-060,4,2,24168.0,18780.2,13960.6,10532.2,9935.6,9482.1,9288.5,6842.0,4982.8,4503.9,3676.0,3451.3
Memory Non-Treg T helper cells (Foxp3-CD45RA-),IL2-060,2,2,9256.4,9348.5,6498.9,5725.4,6157.4,6241.7,6066.0,5132.2,4269.9,4096.5,3884.1,3744.8
Memory Non-Treg T helper cells (Foxp3-CD45RA-),IL2-060,1,2,16905.2,15171.6,12605.9,16497.0,12672.7,13162.1,8351.3,4938.0,4316.8,3755.8,3783.6,3538.3
Memory Non-Treg T helper cells (Foxp3-CD45RA-),IL2-060,0.5,2,27509.1,26974.1,24701.6,24173.5,23737.6,12613.7,6108.8,4600.1,4310.5,4238.0,3981.5,4047.9
NK cells,IL2-062,4,2,1747.2,1499.2,1091.2,850.2,892.5,917.3,809.3,793.2,715.3,725.5,707.1,522.7
NK cells,IL2-062,2,2,1381.7,833.4,822.3,780.9,774.5,807.5,835.9,761.8,665.1,675.6,600.0,530.7
NK cells,IL2-062,1,2,2220.1,1353.0,919.6,922.9,962.3,918.1,706.3,828.6,679.0,714.1,696.7,663.9
NK cells,IL2-062,0.5,2,2206.6,1419.2,1126.0,1196.3,1016.8,886.0,821.1,706.2,691.1,658.3,731.2,639.5
CD56bright NK cells,IL2-062,4,2,2794.8,2162.6,1517.8,1615.5,1423.6,1363.6,1986.9,784.6,1101.5,1400.8,568.0,737.7
CD56bright NK cells,IL2-062,2,2,2327.5,1272.2,1451.9,1180.9,1171.4,1220.3,1544.8,1689.4,527.9,807.0,374.2,495.3
CD56bright NK cells,IL2-062,1,2,5165.1,3953.3,2359.3,2919.0,2594.1,2923.7,1672.8,1197.4,1015.5,1161.3,697.5,792.1
CD56bright NK cells,IL2-062,0.5,2,3976.5,4433.0,3587.8,3350.9,3477.8,2340.3,1547.2,940.4,1135.9,1027.7,729.3,1036.5
Cytotoxic T cells (CD3+CD8+),IL2-062,4,2,1542.7,1094.2,896.7,862.2,849.5,877.3,830.8,796.4,801.4,776.5,767.5,664.5
Cytotoxic T cells (CD3+CD8+),IL2-062,2,2,1166.8,822.8,874.5,808.5,814.2,833.2,853.3,775.1,748.1,729.2,717.1,667.3
Cytotoxic T cells (CD3+CD8+),IL2-062,1,2,1571.8,1067.4,880.6,833.4,811.3,823.2,778.9,827.4,752.0,791.6,729.1,725.6
Cytotoxic T cells (CD3+CD8+),IL2-062,0.5,2,1669.2,1043.5,919.0,888.1,850.0,808.9,807.5,797.9,791.2,775.7,748.0,747.7
T-regulatory cells (naïve and memory combined),IL2-062,4,2,35817.3,32891.5,32882.8,35436.8,35772.7,30383.5,32449.3,30316.1,31138.5,18506.7,11618.0,5554.3
T-regulatory cells (naïve and memory combined),IL2-062,2,2,23457.7,10665.5,26430.7,24576.1,14338.1,30516.3,34949.1,33363.2,22468.9,16113.7,5166.9,4942.2
T-regulatory cells (naïve and memory combined),IL2-062,1,2,43250.8,45026.4,42949.9,40621.8,37433.7,35153.3,18058.7,29043.0,15551.5,6890.2,9141.1,4442.6
T-regulatory cells (naïve and memory combined),IL2-062,0.5,2,45187.2,41083.8,37949.9,40873.5,45158.4,36845.3,30608.7,16450.3,8293.4,5379.7,4942.0,5879.2
Naïve T-regulatory cells (CD45RA+),IL2-062,4,2,29654.8,25720.2,27084.7,27819.6,26997.4,23706.0,26875.1,20816.5,25243.3,15548.8,11530.7,4064.7
Naïve T-regulatory cells (CD45RA+),IL2-062,2,2,17771.2,9164.9,20145.3,20510.3,10880.0,21262.2,26723.3,22919.6,15412.0,12745.2,4368.5,3805.7
Naïve T-regulatory cells (CD45RA+),IL2-062,1,2,31981.2,30617.3,32587.6,32288.8,27733.0,29695.7,13498.3,21411.9,11209.7,5468.0,7016.3,4047.9
Naïve T-regulatory cells (CD45RA+),IL2-062,0.5,2,35645.9,28152.5,28433.2,31595.2,35440.9,25183.4,20197.8,14904.7,6033.6,4636.0,4217.1,4512.1
Memory T-regulatory cells (CD45RA-),IL2-062,4,2,40088.3,38810.0,37809.4,39477.9,39105.9,34470.2,35716.9,34169.2,35421.8,21573.4,11553.6,5948.2
Memory T-regulatory cells (CD45RA-),IL2-062,2,2,27669.2,11074.9,29156.6,27216.8,17879.0,35646.1,38578.0,38283.1,26370.3,17357.6,5459.9,5237.8
Memory T-regulatory cells (CD45RA-),IL2-062,1,2,49127.0,49397.5,48813.3,45294.5,40491.5,37900.0,19500.6,32280.9,15632.5,8836.5,9922.5,4615.4
Memory T-regulatory cells (CD45RA-),IL2-062,0.5,2,49384.4,47350.0,45392.3,47890.5,50512.6,42299.5,34173.3,22742.4,10205.3,5814.5,5313.3,6493.6
Non-Treg T helper cells (Foxp3-) (naïve and memory combined),IL2-062,4,2,7006.5,5698.9,5754.8,5413.1,5846.4,5369.9,5397.1,4988.1,4599.0,4356.4,3873.9,3545.9
Non-Treg T helper cells (Foxp3-) (naïve and memory combined),IL2-062,2,2,4861.2,3732.3,4956.5,4410.1,4184.2,4412.4,4526.7,4484.7,3685.0,3591.4,3501.6,3474.6
Non-Treg T helper cells (Foxp3-) (naïve and memory combined),IL2-062,1,2,6593.3,6171.9,5673.8,5438.7,5513.1,5120.0,4348.7,4182.2,3682.4,3926.2,3719.1,3574.3
Non-Treg T helper cells (Foxp3-) (naïve and memory combined),IL2-062,0.5,2,7750.7,5966.6,5728.6,5680.2,5918.0,4669.0,3407.8,4197.6,3628.4,3761.6,3829.1,3939.6
Naïve Non-Treg T helper cells (Foxp3-CD45RA+),IL2-062,4,2,4934.5,4381.2,4664.2,4493.8,4852.1,4434.0,4454.3,4154.5,3921.4,3891.5,3445.9,3219.1
Naïve Non-Treg T helper cells (Foxp3-CD45RA+),IL2-062,2,2,3947.9,3235.1,4077.4,3753.0,3569.5,3616.1,3889.0,3876.8,3285.1,3176.4,3166.4,3124.1
Naïve Non-Treg T helper cells (Foxp3-CD45RA+),IL2-062,1,2,4740.2,4547.1,4532.5,4470.5,4460.3,4234.5,3870.9,3712.3,3299.0,3589.2,3361.4,3203.8
Naïve Non-Treg T helper cells (Foxp3-CD45RA+),IL2-062,0.5,2,5455.3,4458.2,4588.7,4675.7,4833.8,3972.5,2971.0,3735.4,3285.5,3396.7,3448.3,3554.7
Memory Non-Treg T helper cells (Foxp3-CD45RA-),IL2-062,4,2,15591.5,11025.7,9271.7,8225.1,9339.4,8197.2,8517.8,7099.1,6057.4,5236.3,4528.3,4037.1
Memory Non-Treg T helper cells (Foxp3-CD45RA-),IL2-062,2,2,7505.3,4997.7,7003.2,6009.5,5479.3,6039.9,6012.2,5604.3,4407.6,4233.9,4087.1,3999.4
Memory Non-Treg T helper cells (Foxp3-CD45RA-),IL2-062,1,2,13349.0,10806.6,9479.8,8671.6,8465.0,7618.6,5417.5,5106.4,4171.3,4496.8,4270.7,4078.4
Memory Non-Treg T helper cells (Foxp3-CD45RA-),IL2-062,0.5,2,16424.4,11426.4,9708.1,8612.5,8619.9,6097.2,4116.6,4871.1,4135.9,4282.4,4402.6,4474.3
NK cells,IL2-088,4,2,1575.7,1665.8,1494.8,1299.4,1023.6,965.5,824.9,671.2,645.3,657.3,661.1,597.3
NK cells,IL2-088,2,2,1762.3,1747.9,1527.8,682.3,753.7,671.6,614.6,647.6,610.1,622.0,620.9,586.4
NK cells,IL2-088,1,2,2338.7,2280.9,1683.2,783.2,717.6,599.9,678.0,627.0,623.8,641.2,586.7,584.8
NK cells,IL2-088,0.5,2,2172.9,2118.2,1625.6,665.9,518.1,628.5,629.9,512.3,596.1,529.3,627.8,498.6
CD56bright NK cells,IL2-088,4,2,2327.0,1847.7,2323.2,1916.6,1992.7,1114.2,1221.6,1250.6,958.0,377.2,955.0,256.6
CD56bright NK cells,IL2-088,2,2,2707.6,2003.7,2330.5,1260.9,1953.6,2128.4,716.5,788.4,686.7,792.4,745.3,549.5
CD56bright NK cells,IL2-088,1,2,3674.3,3801.5,3610.3,2836.6,1989.5,2230.4,1299.0,648.6,182.0,480.0,423.0,877.4
CD56bright NK cells,IL2-088,0.5,2,3220.3,2765.7,3392.9,1748.2,1163.5,1014.0,609.2,901.2,483.3,221.5,396.9,603.0
Cytotoxic T cells (CD3+CD8+),IL2-088,4,2,2507.7,2372.1,1359.7,980.9,816.1,754.9,695.7,731.2,722.7,693.6,724.7,705.1
Cytotoxic T cells (CD3+CD8+),IL2-088,2,2,2126.1,1913.8,1255.5,718.7,724.7,716.0,669.1,678.0,685.0,703.1,695.7,656.8
Cytotoxic T cells (CD3+CD8+),IL2-088,1,2,2964.2,2711.9,1301.1,754.4,716.2,705.2,712.4,721.3,713.5,682.9,696.8,697.7
Cytotoxic T cells (CD3+CD8+),IL2-088,0.5,2,3402.3,2612.9,1205.5,710.7,627.4,676.6,718.0,680.0,668.8,685.0,635.3,627.4
T-regulatory cells (naïve and memory combined),IL2-088,4,2,25386.1,22573.3,25640.2,24263.8,26098.0,24941.8,25339.1,23626.2,18782.8,10106.5,12142.9,5029.9
T-regulatory cells (naïve and memory combined),IL2-088,2,2,30314.8,28539.2,29185.3,30668.0,29079.7,26511.5,25060.4,20158.5,5524.3,4505.7,4683.2,4261.9
T-regulatory cells (naïve and memory combined),IL2-088,1,2,34510.7,33566.4,35446.9,36527.1,33713.3,30963.2,29176.8,19341.8,7427.9,5682.3,8877.5,4205.9
T-regulatory cells (naïve and memory combined),IL2-088,0.5,2,40189.1,34079.4,37859.5,28592.0,33034.4,29014.6,20985.3,10952.8,5108.7,4116.8,4624.4,5835.3
Naïve T-regulatory cells (CD45RA+),IL2-088,4,2,20198.1,18992.6,20928.8,18669.3,21693.2,18445.7,19291.5,18081.0,18107.1,9639.4,11849.1,3730.6
Naïve T-regulatory cells (CD45RA+),IL2-088,2,2,23679.0,24762.0,24301.6,21415.2,22893.5,20724.7,20636.6,12855.9,4604.6,3379.1,4847.0,3611.4
Naïve T-regulatory cells (CD45RA+),IL2-088,1,2,24243.1,26236.1,26769.9,26943.6,29557.0,23685.7,23996.9,14376.2,5520.1,4289.8,8801.1,3841.2
Naïve T-regulatory cells (CD45RA+),IL2-088,0.5,2,30874.0,26458.3,28028.1,24865.5,25000.5,26470.1,17283.9,7306.6,3617.4,3033.1,3643.9,4635.2
Memory T-regulatory cells (CD45RA-),IL2-088,4,2,28821.3,26178.1,27410.6,26421.0,27520.7,30026.1,27760.2,27243.9,19634.5,10025.3,13089.0,5461.7
Memory T-regulatory cells (CD45RA-),IL2-088,2,2,34033.9,32801.0,33344.7,33326.1,34134.6,29866.5,29826.3,24546.0,5826.8,5079.0,4725.7,4506.5
Memory T-regulatory cells (CD45RA-),IL2-088,1,2,37537.5,35670.5,37745.0,38423.9,35631.0,33614.7,30978.9,22723.9,7721.6,6440.7,9083.8,4519.2
Memory T-regulatory cells (CD45RA-),IL2-088,0.5,2,41967.0,38591.9,39588.1,32362.1,35376.2,30350.6,24291.6,11681.1,5929.6,4406.2,5192.0,6850.3
Non-Treg T helper cells (Foxp3-) (naïve and memory combined),IL2-088,4,2,7056.4,5999.8,5795.5,5163.4,4934.4,5019.4,4243.9,3826.7,3576.2,3536.3,3477.2,3299.5
Non-Treg T helper cells (Foxp3-) (naïve and memory combined),IL2-088,2,2,5082.0,4874.4,4827.7,4351.2,4211.2,4202.2,4154.7,3684.4,3585.4,3733.2,3407.6,3412.5
Non-Treg T helper cells (Foxp3-) (naïve and memory combined),IL2-088,1,2,7040.3,7194.8,6066.7,4233.5,4173.9,4041.9,3909.1,3872.5,3810.7,3699.1,3570.9,3374.7
Non-Treg T helper cells (Foxp3-) (naïve and memory combined),IL2-088,0.5,2,14806.2,11380.8,8180.1,4008.5,4213.6,3998.8,3595.6,3749.8,3471.6,3280.6,3175.3,2950.1
Naïve Non-Treg T helper cells (Foxp3-CD45RA+),IL2-088,4,2,4315.1,3966.0,4212.8,4031.5,4012.8,4233.0,3697.1,3398.3,3234.1,3241.6,3082.3,3004.5
Naïve Non-Treg T helper cells (Foxp3-CD45RA+),IL2-088,2,2,3845.9,3736.7,3830.8,3679.3,3632.0,3665.0,3727.0,3285.3,3218.5,3400.7,3093.2,3114.5
Naïve Non-Treg T helper cells (Foxp3-CD45RA+),IL2-088,1,2,4621.4,4623.3,4451.6,3639.9,3644.2,3546.0,3547.5,3469.2,3444.5,3398.6,3268.5,3114.8
Naïve Non-Treg T helper cells (Foxp3-CD45RA+),IL2-088,0.5,2,7698.8,5990.3,5133.3,3592.4,3698.8,3584.8,3234.4,3372.2,3157.7,2972.2,2853.5,2632.8
Memory Non-Treg T helper cells (Foxp3-CD45RA-),IL2-088,4,2,19350.1,15980.3,13020.6,10559.6,8042.9,7422.3,5315.1,4512.8,4205.7,3986.2,4026.9,3713.1
Memory Non-Treg T helper cells (Foxp3-CD45RA-),IL2-088,2,2,10976.6,9918.8,7780.8,5721.5,5382.0,5102.0,4847.7,4222.5,4108.4,4357.3,3893.8,3933.4
Memory Non-Treg T helper cells (Foxp3-CD45RA-),IL2-088,1,2,15709.4,15184.0,11991.4,5536.7,5256.6,4769.0,4509.5,4520.8,4389.8,4180.8,4107.0,3780.5
Memory Non-Treg T helper cells (Foxp3-CD45RA-),IL2-088,0.5,2,27018.5,21771.1,19358.5,4667.9,4964.0,4577.0,4174.0,4237.2,3962.2,3708.7,3621.2,3495.7
NK cells,IL2-097,4,2,1829.1,1365.1,1174.0,1228.3,762.0,797.9,778.3,734.9,698.1,687.4,677.8,621.1
NK cells,IL2-097,2,2,1648.4,1087.8,782.1,866.2,806.7,698.4,793.9,752.0,683.3,642.7,634.2,599.1
NK cells,IL2-097,1,2,1597.0,960.6,849.8,651.0,668.7,699.9,678.4,654.3,614.0,529.4,480.3,533.5
NK cells,IL2-097,0.5,2,1806.2,1231.6,895.3,686.6,702.7,671.2,677.5,648.3,648.3,700.0,621.2,630.7
CD56bright NK cells,IL2-097,4,2,2390.7,2248.2,2431.5,2723.5,929.7,1488.3,1194.1,1487.9,1059.7,911.1,519.0,981.6
CD56bright NK cells,IL2-097,2,2,3455.0,2295.4,1753.7,1460.5,1185.9,811.5,670.8,1241.0,728.1,656.5,645.7,848.7
CD56bright NK cells,IL2-097,1,2,3804.2,3488.1,2229.2,1065.9,1231.0,928.6,846.4,1080.0,827.6,541.8,802.2,444.3
CD56bright NK cells,IL2-097,0.5,2,2764.0,4147.6,2254.5,1549.5,1628.9,860.5,390.2,892.8,817.3,747.1,928.0,1006.5
Cytotoxic T cells (CD3+CD8+),IL2-097,4,2,1361.9,969.4,1015.2,1084.4,772.7,810.5,833.4,799.7,809.6,767.5,785.8,737.3
Cytotoxic T cells (CD3+CD8+),IL2-097,2,2,1269.3,963.7,787.9,847.0,789.1,776.8,821.0,808.1,791.4,741.0,697.8,733.8
Cytotoxic T cells (CD3+CD8+),IL2-097,1,2,1316.8,830.0,751.1,728.3,726.9,714.6,727.5,745.1,740.3,642.7,632.6,634.8
Cytotoxic T cells (CD3+CD8+),IL2-097,0.5,2,1278.8,863.5,818.9,763.5,778.6,745.0,752.9,760.1,803.1,778.4,746.5,755.8
T-regulatory cells (naïve and memory combined),IL2-097,4,2,28196.6,28519.7,28800.5,31300.9,27827.2,23325.1,20940.7,19561.2,6818.5,5590.1,4883.3,3992.7
T-regulatory cells (naïve and memory combined),IL2-097,2,2,37008.7,35338.3,32726.6,32006.3,28552.4,27575.0,21566.0,9323.3,6011.4,6637.1,4449.0,4433.8
T-regulatory cells (naïve and memory combined),IL2-097,1,2,40186.2,39626.2,39452.3,31353.1,31225.9,26878.3,11238.3,6154.2,6344.0,3773.6,3215.4,3305.7
T-regulatory cells (naïve and memory combined),IL2-097,0.5,2,46038.2,42333.9,44073.5,33080.1,27652.3,16291.5,12568.4,6516.4,6632.9,6406.2,5322.0,7454.2
Naïve T-regulatory cells (CD45RA+),IL2-097,4,2,22541.1,19899.5,22385.0,24612.8,23545.3,19027.3,16158.2,14653.0,4592.9,3759.7,3298.8,3155.4
Naïve T-regulatory cells (CD45RA+),IL2-097,2,2,26252.4,26194.8,23070.3,22698.1,20886.5,19066.9,14367.8,6717.7,5175.2,4691.5,3691.1,4099.4
Naïve T-regulatory cells (CD45RA+),IL2-097,1,2,28744.2,33503.7,32244.6,27672.0,25367.3,12573.2,5330.7,4860.1,2993.3,2989.7,2773.3,2841.6
Naïve T-regulatory cells (CD45RA+),IL2-097,0.5,2,31798.1,33701.9,32164.0,16118.3,15272.3,10691.9,7372.4,4866.9,5616.3,4398.8,4052.9,10558.9
Memory T-regulatory cells (CD45RA-),IL2-097,4,2,30398.7,32481.6,31478.3,34610.8,31686.8,25500.3,22853.7,20478.9,10619.8,7333.3,5223.0,4822.8
Memory T-regulatory cells (CD45RA-),IL2-097,2,2,41019.1,39289.5,38089.9,37256.4,32911.5,30990.1,26235.6,12764.5,6737.9,7153.5,4941.5,4627.7
Memory T-regulatory cells (CD45RA-),IL2-097,1,2,45320.3,45019.1,43623.8,36305.1,33133.7,29500.9,15673.3,6351.5,7967.1,3824.1,3333.7,3449.5
Memory T-regulatory cells (CD45RA-),IL2-097,0.5,2,49339.1,47142.4,46448.1,38999.1,31581.7,17492.0,14575.6,6705.6,7226.0,6784.7,5807.7,7533.9
Non-Treg T helper cells (Foxp3-) (naïve and memory combined),IL2-097,4,2,5915.3,4764.0,4724.3,4672.2,4437.8,4090.8,4080.0,3928.2,4053.3,3565.8,3620.9,3347.5
Non-Treg T helper cells (Foxp3-) (naïve and memory combined),IL2-097,2,2,5304.0,5231.6,4440.5,4429.5,4007.8,4022.8,3943.0,3880.7,3667.8,3456.9,3226.0,3734.7
Non-Treg T helper cells (Foxp3-) (naïve and memory combined),IL2-097,1,2,5848.8,4424.9,3960.9,3648.2,3700.8,3607.4,3646.4,3541.6,3189.4,2829.7,2493.3,2987.8
Non-Treg T helper cells (Foxp3-) (naïve and memory combined),IL2-097,0.5,2,5738.8,4842.2,4378.4,3914.3,4164.5,4191.4,4160.6,4382.6,4524.6,4315.6,3736.0,4092.8
Naïve Non-Treg T helper cells (Foxp3-CD45RA+),IL2-097,4,2,4201.0,3837.1,3990.6,3971.1,3818.8,3646.2,3688.6,3519.7,3697.4,3169.0,3293.5,2991.3
Naïve Non-Treg T helper cells (Foxp3-CD45RA+),IL2-097,2,2,4257.4,4097.7,3831.6,3829.7,3488.1,3604.9,3491.5,3497.1,3351.2,3137.4,2940.9,3364.8
Naïve Non-Treg T helper cells (Foxp3-CD45RA+),IL2-097,1,2,4176.2,3607.8,3336.0,3242.0,3282.8,3253.4,3263.8,3239.4,2901.6,2547.7,2265.5,2779.5
Naïve Non-Treg T helper cells (Foxp3-CD45RA+),IL2-097,0.5,2,4249.2,3852.9,3698.1,3484.3,3759.8,3783.5,3737.8,4038.3,4132.2,3996.2,3334.4,3715.7
Memory Non-Treg T helper cells (Foxp3-CD45RA-),IL2-097,4,2,13279.6,7619.0,6699.0,6255.4,5481.6,4885.8,4713.2,4529.2,4621.7,4033.3,4129.2,3985.9
Memory Non-Treg T helper cells (Foxp3-CD45RA-),IL2-097,2,2,8484.1,8273.7,5600.4,5379.9,4771.1,4678.8,4574.8,4391.8,4201.6,3895.6,3617.1,4246.2
Memory Non-Treg T helper cells (Foxp3-CD45RA-),IL2-097,1,2,10623.6,6563.9,4987.2,4250.1,4294.4,4147.4,4244.1,3995.5,3691.0,3282.5,2833.3,3439.0
Memory Non-Treg T helper cells (Foxp3-CD45RA-),IL2-097,0.5,2,11264.7,7543.6,5579.1,4541.3,4836.4,4838.5,4767.0,5025.2,5145.3,4967.3,4299.7,4644.3
