"*Note that in this experiment, IL2-060 was added 3x at the 4 hour timepoint. This prevented all muteins from being run at all  4 timepoints. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"This time-point is suspect, the dose response is very far off from two replicates on the same day and one on another day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,IL2-060,,,,,,,,,,,,,,,IL2-062,,,,,,,,,,,,,,,IL2-088,,,,,,,,,,,,,,,IL2-097,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NK cells,,,,,,,,,,,,,,,NK cells,,,,,,,,,,,,,,,NK cells,,,,,,,,,,,,,,,NK cells,,,,,,,,,,,,
,nM treatment:,84,28,9.333333333,3.111111111,1.037037037,0.345679012,0.115226337,0.038408779,0.012802926,0.004267642,0.001422547,0.000474182,,,nM treatment:,84,28,9.333333333,3.111111111,1.037037037,0.345679012,0.115226337,0.038408779,0.012802926,0.004267642,0.001422547,0.000474182,,,nM treatment:,84,28,9.333333333,3.111111111,1.037037037,0.345679012,0.115226337,0.038408779,0.012802926,0.004267642,0.001422547,0.000474182,,,nM treatment:,84,28,9.333333333,3.111111111,1.037037037,0.345679012,0.115226337,0.038408779,0.012802926,0.004267642,0.001422547,0.000474182
,,1,2,3,4,5,6,7,8,9,10,11,12,,,,1,2,3,4,5,6,7,8,9,10,11,12,,,,1,2,3,4,5,6,7,8,9,10,11,12,,,,1,2,3,4,5,6,7,8,9,10,11,12
IL2-060 4 hr,,2819.00293,2235.096191,2441.107422,2380.983643,1887.367432,1137.342163,1168.056396,1104.771606,971.4118652,944.4667969,920.8583984,895.5206299,,IL2-062 4 hr,,2258.728516,1838.057861,1743.227661,1335.134399,1005.590881,842.3128052,737.5128784,790.1768799,589.6856689,599.6013184,519.9991455,500.6098633,,IL2-088 4 hr,,2278.657715,2232.063965,2235.843018,1997.550049,1896.360107,1254.458618,1063.454468,969.8153076,959.0865479,838.8427124,830.8728638,851.2246704,,IL2-097 4 hr,,1605.614868,1114.8302,870.281189,896.6206055,863.7597656,786.0651855,771.0185547,767.510437,682.6011963,644.2728271,634.2946777,601.9359741
IL2-060 4 hr,,2900.720215,2221.229004,1756.368042,1941.169434,1683.417847,1159.020264,1005.810608,1014.119812,856.3082275,659.90802,747.5584717,694.1225586,,IL2-062 2 hr,,2223.145508,1720.17749,1120.789185,914.3021851,840.9282227,780.7662964,767.8679199,730.0343628,717.7259521,763.2104492,703.9671631,742.8165894,,IL2-088 2 hr,,2365.769043,2260.124512,1841.412964,1323.033691,1048.548706,1036.426392,914.1768799,871.6850586,790.402771,824.7967529,830.8901978,803.126709,,IL2-097 2 hr,,1520.412109,1109.957886,927.4692383,871.8903809,819.1102905,777.5210571,852.5806885,888.1896973,820.3728027,850.6452637,850.6370239,749.7537842
IL2-060 4 hr,,2840.538086,2537.550781,2569.050049,2338.644531,2051.772705,1346.765259,1142.034424,964.3765259,908.7210693,836.4030151,838.2347412,794.9902344,,IL2-062 1 hr,,2584.337891,1750.215454,1108.387085,908.2243652,916.6674194,907.97052,858.7457886,694.9717407,657.7318726,551.9384766,663.4145508,625.894043,,IL2-088 1 hr,,2721.741211,2485.583008,1876.647827,1087.588135,988.9415283,826.2878418,776.1418457,831.673584,779.1409302,765.3167725,763.1525269,580.9417114,,IL2-097 1 hr,,1633.245972,1183.171875,800.9851685,725.5625,706.9893188,703.5477295,616.1447754,727.4433594,586.3779297,633.7164307,722.5968018,643.8760376
IL2-060 2 hr,,2476.655029,1996.512939,1656.716187,1368.649048,1089.286377,867.6624146,894.3942261,918.0969238,897.8022461,827.5523682,779.6518555,710.3167114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IL2-097 30 min,,1529.195557,1185.545654,856.3661499,714.9906006,726.479187,682.5039063,673.0505371,685.3787231,643.8071289,723.2081299,677.6835938,723.12854
