IL4 dose (pg/mL),pstat6D median curve 1,pstat6D median curve 2
5,24.33300395,24.333
50,356.1017787,219.7793149
500,1835.680171,1301.589262
5000,2178.853755,1735.671937
50000,2260.663702,1737.93643
250000,2284.996706,1682.723979
