Cell Type,IL-2R$\alpha$,IL-2R$\beta$,$\gamma_{c}$,IL-15R$\alpha$
Naive Th,1280,46,1156,400
Mem Th,2411,210,1694,400
Naive Treg,13734,293,934,400
Mem Treg,16063,452,1691,400
Naive CD8+,134,391,1574,400
Mem CD8+,205,475,2041,400
NK,94,4373,4526,400
NKT,665,112,4455,400
