kfwd_log____0,k27rev_log____0,k33rev_log____0,endo_log____0,endo_log____1,sortF_logodds____0,kRec_kDeg_log____0,kRec_kDeg_log____1,scales_log____0,scales_log____1,kfwd__0,k27rev__0,k33rev__0,endo__0,endo__1,sortF__0,kRec_kDeg__0,kRec_kDeg__1,scales__0,scales__1,Y_int,Y_cross,logp
-9.735811507310201,-26.440389064612766,-0.49410537758929723,-2.508269857103832,-2.406751702264408,-0.7063285211675585,-2.3651157494684076,-2.400620028460058,5.717727239373285,5.081715644875725,5.912767273756539e-05,3.2891594680998498e-12,0.61011648709846,0.08140896661182456,0.09010751574396732,0.33041060975207487,0.09393842641624352,0.09066172301052289,304.21273394104634,161.05012386336386,113406146.39488605,7471.379228811726,-533.8262270174946
-9.839160905003743,-26.21435273429009,-0.5122181224111686,-2.4183464690327,-2.4312116954039173,-0.9841946953504805,-2.3510159092654117,-2.3888775316802797,5.72563457172472,5.04861187203981,5.3322034604716874e-05,4.123360068709954e-12,0.5991650822587175,0.08906877373772035,0.08793022335895376,0.27206025778558557,0.09527232499726251,0.09173259304013587,306.6277808395227,155.80603559127715,113764907.77629621,7375.918683121457,-531.2466149162761
-9.71626358648516,-24.190514043955925,-0.9855023024334786,-2.41664307847827,-2.251567609546731,-0.6547024440773763,-2.224169931827092,-2.290298839133317,5.256480548297069,5.154579012669153,6.0294866743588166e-05,3.120277621081205e-11,0.37325169460713,0.0892206219372781,0.10523412916759,0.34193063607352037,0.10815715919980705,0.10123620399353048,191.805252677519,173.2228667742327,113570585.07361652,7411.731625873555,-530.045347201136
-9.800595900930412,-24.168649690473362,-1.0433682384144418,-2.3582086885393325,-2.230096025838201,-0.6416869397150844,-2.2187611475068096,-2.2747749267681767,5.087546585958073,5.0861381979976485,5.5418565615900935e-05,3.1892517637350796e-11,0.3522661650490445,0.09458951080237966,0.10751810512390261,0.34486530398163384,0.10874374286885025,0.10282004787162553,161.99194081803248,161.7639539035967,113030189.26832435,7400.377713961362,-528.8203996795726
-9.562633339636347,-24.21068278558193,-0.7205726130133465,-2.1208860396464426,-2.0720798622453245,-0.9917622010853541,-2.4580362271025193,-2.298020614516427,4.951979911514956,4.933766652842001,7.03074113822902e-05,3.05797593316286e-11,0.48647361506824705,0.11992532283224647,0.12592360540158204,0.2705641504890546,0.08560289065225901,0.10045749115773518,141.45475474730787,138.90172279873255,113453930.43434401,7427.468186992069,-535.4976901803598
-9.65507899076971,-19.1596403563109,-0.23775507662415693,-2.048749858420869,-2.4332552340222344,-0.9976034632678177,-2.3229267611706486,-2.4710327042823046,5.201128835910854,4.788254489667687,6.409917973472334e-05,4.776105572474742e-09,0.7883957640007906,0.12889594108232544,0.0877507180273098,0.26941286992444846,0.0979863827819619,0.08449755294388464,181.4769840298278,120.09156454212237,113372669.4335553,7304.16692190387,-531.8305620129026
-9.706029075709251,-12.653268785901703,-0.6556842594370804,-2.2677929920010076,-2.438533816382108,-0.7236009223907978,-2.194261117521961,-2.2120640138480896,5.350341241385779,4.906223816499229,6.091512380673545e-05,3.197092400980897e-06,0.5190867510302127,0.10354044268697987,0.08728873900491661,0.3266005286737782,0.11144087280023032,0.10947445836792981,210.68017839770354,135.12818095288864,113880886.42508924,7386.024194752812,-528.8892761719567
-9.719683573329304,-10.414469561631115,-1.0358584874414922,-2.170194380343896,-2.2517505096159653,-1.3730328717885538,-2.3179485693599657,-2.483251190192094,4.828035547588477,4.935080965067189,6.008901130464792e-05,2.9995308806956545e-05,0.3549215544016332,0.11415542518328384,0.10521488359814106,0.20213028228730595,0.09847539397614134,0.08347140255213334,124.96523112216826,139.08440305425606,112912240.92413238,7224.620335147179,-527.8930718201455
-9.76684855375028,-10.32806168258298,-1.173069817625214,-2.2308685514498454,-2.2593811631084595,-1.1340608678565565,-2.379915728076356,-2.3176170033662147,4.742218135689705,4.806269054119875,5.732071084428823e-05,3.2702413266578815e-05,0.3094156322785292,0.10743507670889672,0.10441508066948747,0.24341246093883778,0.09255837725418951,0.09850805048159923,114.68831399063217,122.27456564261088,116629037.059487,7394.607948258899,-531.4081895927641
-9.833506282084718,-12.560782203380166,-0.42714591244789646,-2.425996213479607,-2.4461303834113703,-1.1918918675263863,-2.2042637848485787,-2.316626468701156,5.52413775327855,5.223023820048336,5.362440469241185e-05,3.5068856155406428e-06,0.6523683566191127,0.08839001983734107,0.08662815650451619,0.2329207475328136,0.11033172329759541,0.09860567446237511,250.67010533478867,185.49423808864572,113666737.23408021,7291.5586291944965,-528.436422004208
-9.85742119139397,-12.65658401494733,-0.4142954234754584,-2.441420555965274,-2.4422101109590373,-1.2265628290101054,-2.2264574473347967,-2.2764518936700857,5.65127077138412,5.30374793129854,5.23571949158189e-05,3.1865108572038387e-06,0.6608057049092069,0.08703712249726492,0.08696842902476018,0.22678357717244083,0.10791003078367334,0.10264776654990368,284.65296492614925,201.0890673991394,114001416.82828999,7284.614184823041,-528.8192023707593
-9.638027372649338,-12.546403700893546,-1.2959339289462997,-2.1239398517459547,-2.2116090549044323,-1.034215995966636,-2.3601242777065403,-2.5572020950823533,4.513770972318346,4.904928457186683,6.520154632646439e-05,3.557673631898225e-06,0.27364218260048584,0.11955965205943872,0.10952427608351467,0.26226756221128644,0.09440848959664001,0.07752133462040359,91.26532944932003,134.95325472592236,113012521.30670956,7325.745130779927,-531.0501470659614
-9.780728496242805,-12.518896121454793,-1.10684323780077,-2.328256351977476,-2.2419298280972053,-0.8397840763831783,-2.2592479724300194,-2.398765154278252,4.554129119517592,5.017499891268097,5.653059871433777e-05,3.6568950358869434e-06,0.33060094412699104,0.09746554461708726,0.10625325587717789,0.3015802619555222,0.1044289887111114,0.09083004515975739,95.02396467427273,151.03323187870635,115956282.4352795,7344.61808819978,-528.9307255166707
-9.787732503049273,-12.781314043703238,-1.3237071444485735,-2.3108400554814454,-2.349116491419331,-0.8794484213942083,-2.078841315404293,-2.1820794749455468,5.124656147723154,5.132930927828622,5.6136041370283216e-05,2.8128452463680214e-06,0.26614682615749746,0.09917790161536826,0.09545345892164644,0.2932920925830699,0.1250750508059225,0.1128067078483519,168.11632453117574,169.51322168652158,113219958.52240951,7302.75313096892,-527.9850082371834
-9.743971558294616,-8.006677343091402,-0.7373791526078088,-2.1922221808046767,-2.3632493468254117,-0.9914643967771372,-2.194665981649565,-2.2129906264711807,5.1519789889619,5.137223335581775,5.864715112023402e-05,0.0003332300908447675,0.47836599832458465,0.11166832548961046,0.09411391706074416,0.2706229289221071,0.1113957635206654,0.10937306493637161,172.7730682108366,170.24240541090063,113228223.7549137,7309.5117261707,-526.6096126244449
