kfwd_log____0,k27rev_log____0,k33rev_log____0,endo_log____0,endo_log____1,sortF_logodds____0,kRec_kDeg_log____0,kRec_kDeg_log____1,scales_log____0,scales_log____1,kfwd__0,k27rev__0,k33rev__0,endo__0,endo__1,sortF__0,kRec_kDeg__0,kRec_kDeg__1,scales__0,scales__1,Y_int,logp
-4.777616360935613,-2.7387197759549418,-2.030999681849696,-2.3369305752259972,-2.320547997811408,-1.0311334068691693,-2.185190458595848,-2.374469838521575,-2.1975477021103647,-3.4142277119612983,0.008416035869499084,0.06465306434099406,0.13120429301590047,0.09662376290341089,0.09821974664769366,0.2628644286153068,0.11245631334297958,0.09306381498393548,0.11107521415833801,0.032901806563907045,0.3131389263745625,-60.99962789968922
-4.4014476816457995,-2.8600950944105583,-3.5429500437074988,-2.2592028376662325,-2.3334766636440247,-0.7833820457605741,-2.145332106372574,-2.4424279867739176,-2.326974673489647,-3.0148232447384555,0.012259579082540375,0.057263314585397476,0.028927862623130823,0.10443370219521958,0.09695806983815071,0.31359143591291494,0.11702916445827331,0.08694948277145768,0.09759054419645205,0.04905450536269641,0.317907866265525,-63.05710675320085
-4.40865351541644,-2.8342946903763795,-1.4209824293469744,-2.282161514009806,-2.342190591610035,-1.1012561709805457,-2.304197008492161,-2.0723344635699004,-2.2984156920575116,-3.620016677180495,0.012171556113888964,0.05875995518376985,0.24147666656231914,0.10206335674088395,0.09611685466901189,0.24950459979995018,0.099838938293992,0.12589154916580464,0.10041781049812988,0.026782229836832663,0.2024487617706174,-62.83136738281404
-4.107497603063781,-2.7615144337602935,-2.0680480224570847,-2.3494142706547327,-2.3464180950485964,-1.1900995961567662,-2.2521012955112045,-2.0771864597357426,-2.3799896632642654,-2.692277654949705,0.016448884706539345,0.06319598971240242,0.12643233407121834,0.09542503909525939,0.09571137801624932,0.233241123551254,0.10517798217363361,0.12528220331922363,0.09255153418614953,0.06772650595399292,0.29779886543288436,-63.36628601607897
-4.702347732682345,-2.2479364051080784,-1.3338803699898938,-2.3453371458050665,-2.419967491457981,-1.1340756852672746,-2.061900776193231,-2.2700839635670254,-2.300364474936202,-3.9154725817462483,0.009073948868680537,0.10561695043501847,0.26345298025202585,0.09581489309510692,0.08892450821851082,0.24340973213285044,0.12721193851972037,0.10330350598810233,0.10022230854561681,0.019931127332695288,0.206820693267366,-64.58509829674685
-3.905753414955431,-4.26941570900461,-2.183711295610761,-2.2522003504171426,-2.214334081144977,-0.6250252010454218,-2.5366377951565933,-2.387206384488392,-2.6493390780507853,-3.0567706931957126,0.020125785709869077,0.013989954970461387,0.11262277764268017,0.10516756429448218,0.1092262258390167,0.34863941240740387,0.07913201105155201,0.09188601986909996,0.0706979234321345,0.04703935471892826,0.20673151941822784,-66.0048491071702
-3.745547909384091,-2.564031474402556,-2.408084715113027,-2.423567697460682,-2.1459570448579113,-0.34686614061157406,-2.1079428803401914,-2.0779086020447894,-1.736065544546185,-2.937505047749863,0.023622682411839853,0.07699371572635022,0.089987481289233,0.08860493727602409,0.11695605127749623,0.41414257954157013,0.1214876241374921,0.12519176439845198,0.17621233812050674,0.052997790883088945,0.30460028731616395,-66.67261833366189
-4.6464771288275255,-4.077140293943895,-2.7126864440702065,-2.451781943615388,-2.2383901118889815,-0.1839215724205709,-2.275320575073037,-2.210240121730038,-2.330985900781546,-3.4139109704236748,0.009595345624792815,0.01695588523451376,0.06635829918776796,0.08613995311752394,0.10663002869019873,0.45414878538978287,0.10276395959042811,0.10967431016833488,0.09719987040665042,0.03291222958332315,0.23843497620407852,-62.4383352674785
-3.7525873266805196,-1.9739283231196367,-2.097604080052166,-2.3281263987974348,-2.37203197282088,-1.1070986104215617,-2.3450574177009234,-2.405032830159772,-2.3510042433439056,-3.07280994986316,0.023456976413790312,0.1389100992447298,0.12275017580946905,0.09747821139758109,0.09329096883925543,0.24841219286096156,0.09584169896250354,0.09026253222778595,0.09527343644321065,0.04629089683465633,0.2148641687940844,-62.054668436525546
-5.144782710418419,-2.468823008761728,-1.5758581898809705,-2.2530951264970542,-2.304584057723946,-0.9660642647046357,-2.3764374664704864,-2.443334535539887,-2.1699038795644174,-3.822971395449226,0.005829740968368339,0.08468447325054942,0.2068299771018384,0.10507350496086533,0.09980030318694967,0.2756656723939393,0.09288088005350202,0.08687069454323093,0.11418859224057602,0.021862741433034908,0.3644921258456156,-64.59442960521017
