kfwd_log__,rxn_log____0,rxn_log____1,rxn_log____2,rxn_log____3,rxn_log____4,rxn_log____5,rxn_log____6,rxn_log____7,endo_log____0,endo_log____1,kRec_kDeg_log____0,kRec_kDeg_log____1,IL2Raexpr_log____0,IL2Raexpr_log____1,IL2Raexpr_log____2,IL2Raexpr_log____3,sortF_logodds__,kfwd,rxn__0,rxn__1,rxn__2,rxn__3,rxn__4,rxn__5,rxn__6,rxn__7,endo__0,endo__1,kRec_kDeg__0,kRec_kDeg__1,IL2Raexpr__0,IL2Raexpr__1,IL2Raexpr__2,IL2Raexpr__3,sortF,Y_int,logp
-9.085524224748134,-2.258339388831878,-2.378439093692564,-2.3707572890749935,-2.244239302290047,-2.458581192928405,-2.3325905716345625,-2.1622783175313085,-2.40511926439364,-2.2842588205365946,-2.174320212267192,-2.2829424084420937,-2.254604201199516,0.0812311613839227,0.01533932499145399,-0.002332053388558153,0.23138341120811667,-0.6649907996746692,0.00011329401397327762,0.10452391429480871,0.0926951530956535,0.09340996114353918,0.10600814986676979,0.08555625271145272,0.09704402168408528,0.11506267287664963,0.09025473079212627,0.10184952291256971,0.11368540935573448,0.10198368714468496,0.10491506077475521,1.0846215902181255,1.0154575762951001,0.9976706637353756,1.2603423762163928,0.3396193903488562,3.4147955670536505,3.698535853206943
-9.182541668525241,-2.3255695162340064,-2.479570379567924,-2.2182712503825033,-2.284758662200111,-2.384726069212228,-2.4290519970485316,-2.2585206424962903,-2.222074045661764,-2.2354460601597457,-2.4680205785543103,-2.310258526157477,-2.5226659415034387,0.20670767864337472,0.1456677364222932,0.0711609653080563,-0.09830745964246317,-0.6753339649471406,0.00010281886927531378,0.09772777064750421,0.08377921112246435,0.10879702916710442,0.10179862699861755,0.0921142090414079,0.08812033133177559,0.10450497066917673,0.10838408201257937,0.10694441556909237,0.08475245390120105,0.09923559324650906,0.08024539181366573,1.2296230741537213,1.156811757774872,1.0737540491100028,0.9063701886551511,0.33730350763922884,3.4134695848893366,0.5299714444251222
-9.310809404176885,-2.3680911357103964,-2.102774956600941,-2.484721696122216,-2.3574620232129564,-2.271270970155068,-2.6264338376406937,-2.4458775994640543,-2.2829845393305814,-2.507348121699657,-2.2637723146873148,-2.175548783592587,-2.194598864447159,-0.003372476539520733,0.026317915160882725,-0.01704498226177104,0.14561884677942807,-1.0774472373525714,9.04413119663079e-05,0.09365933871743536,0.12211708802403196,0.08334874756423069,0.09466016388415538,0.10318095679366628,0.0723359646124558,0.08665005747985699,0.10197939057184416,0.08148403873156825,0.10395758342814584,0.11354582448422687,0.11140324034358169,0.9966332038720049,1.0266672896928586,0.9830994616029624,1.1567552030436536,0.25398940720043384,3.4089934699106896,-4.392469159378074
-9.307393734595243,-2.4427689289005485,-2.437993616687331,-2.397516624768121,-2.2075999070422534,-2.406171612147067,-2.429937705070593,-2.218863838328143,-2.400124774008584,-2.332263268436173,-2.5200527531209285,-2.186698728510317,-2.2492615693577984,0.039537580570495105,-0.1976927099429508,-0.030916948397675458,0.09677040717115683,-1.2071157608476748,9.075075778599831e-05,0.08691984308288846,0.0873359050934909,0.09094351997513306,0.10996425648474739,0.09015980138707477,0.08804231700146749,0.10873257645793392,0.09070663475287434,0.09707578970137029,0.08045536236612094,0.11228682671679195,0.10547708332205434,1.0403295943299966,0.8206219833733764,0.9695560929193892,1.101607423419728,0.2302117816546914,3.408248942377577,-0.7798421632068635
-9.218234616512117,-2.032962578661675,-2.3893032624290393,-2.233236832495523,-2.198511277976937,-2.3149187392377377,-2.205048241168587,-2.2399751919010384,-2.1610585414194587,-2.1729969977382346,-2.530037855665255,-2.126278871614898,-2.1295204158682743,-0.23313569813902127,0.07119338678179352,0.040258646201533556,-0.1416260451345241,-1.0071289109143184,9.921368331803288e-05,0.13094700512482224,0.09169354796654916,0.1071809413038994,0.11096823631151365,0.09877421014363005,0.11024520681859323,0.10646114544512454,0.11520310920941974,0.1138359391107404,0.07965600479776855,0.11928032645916171,0.11889430000132807,0.7920460870515899,1.0737888623630516,1.0410800107626554,0.8679457683487806,0.2675421032906668,3.4140163130266985,-5.600503252137685
-9.31098064316593,-2.2800014419506356,-2.3137910614621697,-2.030249823693527,-2.3427284791145047,-2.3614570112570874,-2.385559408760809,-2.619409745681709,-2.264009725173635,-2.2684192313427567,-2.395250139127242,-2.5712843615206653,-2.1816874427779087,0.09790888288229645,-0.13594069379828264,0.053314545319903386,-0.043247448140108856,-0.8381971027247475,9.042582621339902e-05,0.10228405922686691,0.09888565845228837,0.13130271452161543,0.09606516851583066,0.09428275204103857,0.09203747860372208,0.0728458477163636,0.1039329057371947,0.10347562188709312,0.09114987592034428,0.07643730921331439,0.11285094037627419,1.1028622908970354,0.8728943990049718,1.054761363196845,0.9576743859994866,0.3019146308125934,3.4197728063867254,-4.5466132059432205
-9.042156021007372,-2.1173393045947546,-2.1565513409386736,-2.129788364766014,-2.3944856234240786,-2.338822883509929,-2.411387053921355,-2.012125315585698,-2.1593821062288394,-2.2019906946934524,-2.329853033240096,-2.3496222172355905,-2.2583473146083004,-0.1848316909099806,-0.07121142347854906,0.03925925723916264,-0.09620094319662408,-0.7975902316550215,0.00011831547062604764,0.12035142136094482,0.11572352464597588,0.11886244667241797,0.09121958807645034,0.09644109384404013,0.0896908022744379,0.1337042088471234,0.11539640173169072,0.11058280250635084,0.09731004738104297,0.0954051978476826,0.10452308586491621,0.8312441780302527,0.9312649800308763,1.0400400866218626,0.9082814847451274,0.31054122752676777,3.416547941767033,-3.315082497974837
-9.086631323001228,-2.218189061962546,-2.1997187222487886,-2.202355182762583,-2.181600640613793,-2.3967454705937166,-2.177688026846086,-2.2462660743103404,-2.294313216005367,-2.1462865429819438,-2.3334279429824023,-2.356027064615335,-2.456191280199562,-0.03144765310300507,0.02925519286530683,-0.002817889941300535,-0.11430005004479794,-0.9131447591188885,0.00011316865577304799,0.10880597139049629,0.1108343292091725,0.11054250373884238,0.11286073650727788,0.0910136784982391,0.11330318197344806,0.10579351309806925,0.10083061834909508,0.11691752082621035,0.09696279381453955,0.09479609480446992,0.08576096921869354,0.9690416814511628,1.0296873298096778,0.9971860765839415,0.8919902740037626,0.28635675355193246,3.415459763357451,4.1091268023672995
-9.176034529416176,-2.3331883807252614,-2.5555854963600453,-2.2922153526868887,-2.145533461592743,-2.2872328774690542,-2.291201379727821,-2.270067310175438,-2.1716665139731375,-2.389180782320201,-2.4084141715857443,-2.2594197893046326,-2.6460032049979816,-0.07944628172421157,0.08431702087046719,0.02362899327835537,-0.2045351124647102,-0.398674989977751,0.00010349010751250685,0.09698602522285765,0.07764675686230577,0.10104236923926155,0.11700560239734921,0.10154706661694109,0.10114487542986045,0.10330522635616486,0.11398749677976376,0.09170477929007669,0.0899578392142136,0.10441104758998986,0.07093415653255011,0.923627634319982,1.0879737495278285,1.0239103697837775,0.8150261238390748,0.4016307293703166,3.41134620275497,-3.7214444252839467
-9.124279422104351,-2.3493071772666676,-2.2569772508738395,-2.389254888564716,-2.3670634826060852,-2.35532113303146,-2.3103485358558875,-2.42539480286608,-2.159766991160079,-2.180837748953538,-2.4688900713345854,-2.2120878263351034,-2.2390880745893775,-0.2081343644163619,-0.08307979255576699,-0.020055633401452215,-0.0465025417392374,-0.46312284710926466,0.0001089872753885455,0.09543525903323648,0.10466638729790628,0.09169798364508243,0.09375563750001263,0.09486303798769403,0.09922666148266805,0.08844319452170811,0.1153519959416528,0.11294686987296518,0.08467879428231743,0.10947185153984924,0.10655563087390145,0.8120979123188681,0.9202777129796768,0.9801441430373266,0.9545621343188555,0.3862452596899031,3.4199510288541797,3.1771437733924817
